No Of Abuse Report,No Of Rejected Friend Requests,No Of Freind Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
70,579,80,412,271,59,40,1
48,626,244,899,75,99,15,1
13,496,557,664,493,24,15,0
5,898,160,367,380,99,97,1
51,771,291,974,695,39,13,1
42,12,806,252,304,44,14,1
31,534,619,161,263,78,98,1
15,372,437,38,907,20,25,0
54,172,517,467,108,42,18,1
32,170,193,916,303,31,2,1
51,154,376,379,549,100,36,1
27,129,999,625,917,60,37,1
36,384,87,269,530,47,32,1
69,29,398,423,185,26,9,1
56,571,186,570,917,45,80,1
20,985,647,410,35,80,47,1
25,380,883,665,946,75,94,1
35,410,577,677,533,39,4,1
52,422,394,329,5,15,6,1
20,573,680,844,189,75,88,1
56,354,949,829,310,31,7,1
90,194,110,706,272,25,43,1
6,695,753,807,630,28,68,0
19,308,704,523,453,50,57,0
55,662,109,492,333,45,59,1
95,637,201,783,268,68,46,1
38,136,884,579,376,61,34,1
25,537,741,927,174,63,44,1
93,243,983,742,922,82,13,1
52,582,468,803,255,64,31,1
26,863,168,713,387,46,21,0
35,979,880,717,51,42,50,1
39,394,421,677,769,49,4,1
30,13,355,129,974,7,39,0
58,228,302,785,618,45,54,1
67,295,476,226,88,17,68,1
10,466,132,745,442,14,92,0
11,926,332,270,468,13,60,0
22,461,330,677,720,46,83,0
7,747,359,264,159,59,85,1
4,794,234,75,430,78,59,1
72,629,214,749,303,18,26,1
11,10,644,818,9,1,9,0
38,740,175,292,298,88,45,1
26,391,98,723,581,83,79,1
66,321,711,649,297,7,44,1
81,915,952,306,885,41,88,1
76,169,450,265,328,47,71,1
20,135,312,853,812,7,89,0
99,454,709,612,759,100,13,1
65,485,110,240,908,84,3,1
23,959,413,839,138,5,4,0
78,665,406,288,452,12,100,1
31,12,460,297,855,28,29,1
46,388,80,984,340,39,73,1
60,601,596,75,439,72,43,1
28,636,847,632,495,9,78,0
73,77,489,788,286,40,87,1
96,313,954,453,604,54,50,1
79,495,820,26,814,21,27,1
68,417,747,601,71,80,34,1
87,538,673,985,584,50,77,1
80,76,598,857,322,88,54,1
47,386,821,613,35,36,64,1
21,286,133,571,162,44,87,0
74,538,867,860,887,9,52,1
72,693,412,219,585,8,16,1
51,880,975,683,661,54,93,1
5,975,708,340,377,73,98,1
3,767,280,894,223,61,34,1
49,885,131,814,165,37,18,1
40,153,654,936,197,80,55,1
97,147,445,75,153,77,70,1
43,419,151,956,652,72,64,1
82,729,302,556,342,11,3,1
79,785,53,660,539,11,50,1
76,975,496,211,581,47,25,1
92,677,714,274,107,3,31,1
58,452,545,214,442,97,92,1
14,768,380,41,844,37,81,0
59,119,217,76,316,33,57,1
32,481,395,711,65,92,43,1
76,898,650,371,744,2,84,1
18,757,226,16,240,64,29,1
77,181,148,958,655,33,22,1
93,332,717,520,665,79,5,1
14,657,677,738,715,64,96,1
22,344,498,854,739,44,22,0
23,925,437,876,516,16,60,0
80,278,824,601,477,73,26,1
32,534,810,499,267,46,52,1
21,462,815,769,324,28,63,0
50,281,461,595,810,55,59,1
46,913,596,799,674,96,77,1
53,205,670,453,346,13,20,1
55,614,581,437,835,11,51,1
79,940,135,857,514,81,57,1
1,741,431,280,591,52,64,1
60,854,661,964,407,1,40,1
61,375,890,420,341,84,77,1
47,336,747,264,429,9,41,1
79,329,76,425,169,61,21,1
2,640,435,289,742,91,97,1
64,865,63,356,347,26,2,1
52,156,842,389,705,62,53,1
99,682,64,756,787,28,20,1
23,317,393,883,381,67,51,1
68,546,586,1000,240,98,28,1
50,7,796,731,923,96,26,1
72,584,44,336,195,64,61,1
5,674,246,69,583,65,35,1
98,219,203,767,719,1,95,1
53,117,677,967,290,23,58,1
62,339,989,688,441,81,17,1
47,458,646,10,457,43,66,1
98,800,114,72,541,65,75,1
50,235,757,646,367,13,16,1
61,261,698,620,809,74,29,1
59,328,105,526,115,27,89,1
10,531,425,958,449,71,56,1
36,619,515,82,266,67,73,1
47,483,497,269,515,64,20,1
96,888,334,753,305,55,85,1
83,40,855,445,880,5,89,1
71,774,792,658,791,10,91,1
95,708,857,374,314,9,73,1
20,280,329,146,998,5,44,0
32,531,800,195,767,11,71,1
26,353,107,160,987,94,100,1
24,133,571,644,622,9,92,0
69,308,41,698,378,88,43,1
13,204,321,977,866,74,50,1
37,131,783,641,388,5,6,1
22,818,504,946,564,24,66,0
70,85,400,943,995,79,17,1
84,880,742,274,454,58,61,1
34,501,714,527,729,79,26,1
55,18,118,246,361,63,75,1
22,558,402,149,980,59,70,1
55,235,175,508,381,35,85,1
31,15,190,783,348,62,43,1
38,103,990,567,968,57,75,1
98,635,414,27,206,60,83,1
64,873,267,14,226,52,23,1
37,256,513,871,55,68,53,1
93,792,271,232,297,23,91,1
6,649,718,511,238,65,7,1
28,354,479,689,499,25,89,0
5,500,436,693,347,62,72,1
43,882,819,844,935,81,100,1
22,73,550,232,970,44,99,0
2,408,395,538,77,85,36,1
64,435,434,292,929,94,50,1
83,795,536,113,194,62,69,1
86,312,980,9,936,81,86,1
1,327,710,421,923,70,78,1
44,835,125,29,981,51,87,1
69,96,251,411,56,12,79,1
9,708,592,969,106,38,62,0
36,991,827,813,223,68,70,1
76,318,21,120,545,27,25,1
10,982,870,767,844,23,89,0
34,537,562,89,90,25,49,1
67,728,645,24,55,89,20,1
22,608,896,793,727,4,58,0
2,846,458,321,342,51,14,1
81,405,142,629,930,82,96,1
5,737,42,46,205,54,25,1
3,665,630,379,31,10,65,0
27,907,699,869,571,16,74,0
20,340,199,520,728,25,87,0
5,992,539,806,979,12,92,0
22,404,18,249,501,36,74,0
93,518,203,494,465,45,14,1
100,37,214,922,862,51,2,1
79,825,217,906,656,54,93,1
57,85,440,697,985,26,42,1
50,418,534,411,230,77,54,1
48,223,313,895,606,45,89,1
30,247,897,276,346,94,73,1
60,798,542,29,657,62,49,1
30,334,113,959,60,14,23,0
13,210,275,900,645,31,100,0
66,941,359,764,457,83,47,1
75,356,300,45,763,53,60,1
77,482,618,290,887,95,83,1
57,163,837,420,555,17,18,1
61,49,372,293,94,1,92,1
88,361,316,474,847,35,5,1
84,355,106,421,453,19,29,1
67,666,17,797,491,38,4,1
15,401,312,208,667,47,17,0
42,614,89,751,377,58,73,1
5,655,542,567,259,5,9,0
1,283,611,605,913,25,76,0
27,44,237,422,555,40,36,0
94,520,993,933,375,65,61,1
24,748,441,491,439,66,9,1
98,620,161,255,668,70,65,1
43,324,955,995,815,91,23,1
62,391,511,101,370,1,26,1
66,790,355,957,892,2,69,1
21,393,175,92,818,34,87,0
6,408,324,773,448,9,44,0
4,421,139,596,676,61,56,1
74,734,218,204,293,53,42,1
84,236,991,839,796,3,44,1
15,763,203,276,319,92,32,1
39,671,458,820,518,58,45,1
30,862,552,956,820,51,54,1
19,327,27,299,863,9,27,0
69,803,112,261,263,96,13,1
5,959,321,241,729,74,92,1
91,45,928,717,738,84,39,1
73,514,464,778,207,37,46,1
46,300,646,54,769,5,45,1
96,660,706,991,743,42,31,1
97,828,240,72,636,83,13,1
39,197,908,850,274,13,32,1
22,164,217,28,29,71,36,1
10,777,824,986,473,65,2,1
36,208,423,82,875,51,23,1
2,2,195,249,705,6,54,0
50,315,785,523,41,69,52,1
95,438,761,938,385,60,36,1
9,783,319,453,848,69,94,1
37,742,811,471,870,31,96,1
56,723,106,345,775,90,82,1
34,390,211,732,953,46,95,1
68,14,600,306,753,78,15,1
83,744,298,642,345,61,74,1
96,811,768,752,152,69,1,1
40,528,398,898,544,29,59,1
16,501,29,5,477,11,23,0
75,775,643,837,723,29,77,1
78,248,421,895,722,62,53,1
79,824,21,192,842,56,16,1
90,91,280,885,965,20,17,1
48,65,550,229,435,29,99,1
96,394,430,509,51,96,73,1
57,823,660,284,820,48,22,1
69,818,219,418,790,92,86,1
7,154,883,904,684,25,12,0
5,1000,824,18,458,3,53,0
97,118,232,815,216,10,90,1
96,9,186,398,154,9,33,1
72,243,209,383,395,36,7,1
88,695,502,557,887,44,91,1
49,638,448,93,321,28,42,1
18,807,806,58,113,51,4,1
49,122,872,307,286,22,40,1
31,328,371,456,516,60,43,1
67,773,941,45,327,72,11,1
26,538,61,938,111,4,88,0
27,807,837,976,762,98,26,1
96,797,52,257,819,5,66,1
91,799,539,105,985,1,35,1
48,221,313,595,309,86,20,1
27,120,222,16,527,60,12,1
65,643,672,45,94,58,57,1
26,593,998,784,770,19,10,0
11,529,917,59,879,29,4,0
69,732,197,921,596,19,9,1
92,24,382,525,474,49,54,1
27,401,352,94,287,100,99,1
42,838,725,62,925,26,73,1
27,19,992,688,621,67,20,1
29,970,675,560,657,95,45,1
25,90,871,792,801,86,83,1
56,888,375,205,944,51,49,1
72,167,158,753,297,36,91,1
64,772,889,197,70,85,45,1
11,440,818,541,602,75,8,1
29,709,363,404,303,6,34,0
65,83,536,385,990,17,32,1
11,689,139,224,33,38,19,0
35,504,273,385,305,40,47,1
4,810,653,331,846,87,96,1
24,631,221,719,852,52,100,1
33,952,149,561,689,33,47,1
81,592,839,675,33,75,20,1
16,814,81,881,877,100,24,1
28,768,152,86,152,86,11,1
44,889,212,707,767,53,46,1
81,548,333,168,124,80,87,1
97,949,271,660,360,48,76,1
22,838,363,901,650,51,17,1
5,783,121,91,815,20,44,0
42,37,528,447,10,89,12,1
70,670,601,889,394,62,21,1
64,444,407,406,443,65,2,1
64,22,897,321,909,70,31,1
5,245,485,420,666,71,14,1
57,836,329,756,842,99,3,1
10,902,305,762,702,70,80,1
56,682,965,307,417,8,67,1
9,490,220,828,127,11,56,0
59,108,469,989,380,56,28,1
30,945,331,466,387,36,98,0
84,560,816,743,145,22,36,1
84,155,434,316,51,45,45,1
76,788,961,265,372,63,93,1
92,997,195,19,770,19,94,1
47,784,971,522,524,34,1,1
16,161,400,617,670,85,26,1
17,73,763,216,92,69,40,1
84,578,155,4,818,25,49,1
27,616,300,740,729,53,11,1
81,124,540,237,146,38,48,1
1,958,672,405,125,72,36,1
47,419,122,460,191,74,8,1
44,873,270,281,454,30,31,1
53,847,20,445,730,77,99,1
100,247,790,617,817,57,70,1
82,754,290,752,965,74,25,1
76,954,418,827,658,37,37,1
6,546,411,127,244,18,43,0
68,580,592,234,399,62,38,1
68,31,672,731,845,20,19,1
12,789,416,59,543,58,49,1
51,919,325,51,29,47,6,1
72,309,605,23,816,39,51,1
28,858,724,89,138,22,11,0
75,591,925,881,848,28,27,1
81,219,531,493,806,62,1,1
21,408,416,74,618,21,89,0
77,22,522,267,968,45,21,1
78,196,66,78,687,60,96,1
32,879,587,432,122,55,44,1
45,648,60,42,572,67,22,1
55,670,312,888,173,1,28,1
77,465,358,650,639,37,67,1
90,212,34,543,705,4,20,1
84,575,715,974,449,64,58,1
58,877,735,632,448,52,50,1
92,944,882,478,997,14,100,1
33,400,108,47,898,69,16,1
75,194,57,774,973,60,39,1
86,632,642,496,222,72,55,1
71,653,443,370,820,89,72,1
77,231,942,558,753,51,86,1
46,596,466,524,624,75,59,1
20,314,345,732,905,62,20,1
6,987,44,318,299,16,95,0
49,722,597,465,526,52,16,1
49,347,514,286,724,4,66,1
16,897,658,858,522,95,35,1
11,975,544,512,661,54,89,1
6,58,868,487,485,28,61,0
87,918,284,662,429,98,30,1
42,381,84,555,637,53,93,1
69,657,534,324,791,37,50,1
36,331,361,611,574,70,32,1
14,790,937,773,518,69,51,1
28,810,6,649,227,58,3,1
36,945,906,291,584,49,43,1
3,673,365,226,346,12,34,0
9,166,444,881,243,52,47,1
88,18,677,939,272,37,51,1
10,363,188,534,746,82,58,1
40,108,806,873,864,40,18,1
73,662,648,327,937,95,61,1
53,951,902,571,679,61,19,1
30,712,306,66,552,88,71,1
15,271,434,605,113,52,57,1
60,980,154,639,973,78,24,1
89,335,783,264,46,45,8,1
56,591,922,414,451,97,23,1
100,426,1000,767,710,13,13,1
26,816,165,880,26,80,91,1
38,179,949,686,551,11,44,1
57,698,448,946,288,35,49,1
60,707,936,149,302,48,93,1
20,756,382,336,441,1,6,0
26,402,655,806,523,75,97,1
56,929,726,271,802,39,24,1
35,710,465,701,368,18,100,1
68,620,451,277,209,47,3,1
24,291,399,627,50,44,49,0
82,80,85,336,155,28,50,1
23,617,820,779,957,97,67,1
1,384,248,239,797,37,10,0
91,500,383,491,892,22,8,1
36,385,143,902,412,28,25,1
19,911,225,87,358,61,52,1
66,73,792,21,542,29,87,1
28,812,154,158,794,58,54,1
90,421,664,637,987,32,62,1
51,994,120,937,975,61,66,1
83,295,335,556,359,52,11,1
90,135,59,856,223,7,1,1
69,803,503,523,425,11,68,1
20,780,720,67,662,45,77,0
81,50,153,305,997,35,43,1
52,391,407,898,200,4,23,1
88,892,406,318,258,35,72,1
99,865,80,110,598,51,28,1
31,501,684,120,201,58,84,1
39,252,493,964,512,28,87,1
54,453,474,982,726,71,100,1
69,231,925,713,718,56,28,1
10,251,978,755,232,11,51,0
9,718,463,334,954,26,85,0
39,426,600,928,138,39,35,1
86,42,816,707,863,25,3,1
28,72,797,290,466,24,5,0
59,765,140,517,929,21,58,1
24,397,326,177,842,69,13,1
68,393,594,102,147,27,42,1
15,790,901,859,518,4,42,0
92,558,773,951,49,99,45,1
75,351,316,218,435,92,13,1
26,996,974,959,464,87,10,1
78,696,19,231,685,98,46,1
50,998,42,274,744,93,1,1
29,541,61,182,966,9,69,0
90,892,899,445,564,27,63,1
40,884,921,257,77,60,51,1
5,408,155,7,426,24,25,0
48,500,813,20,700,33,69,1
2,991,269,164,112,54,32,1
97,233,818,970,373,28,42,1
73,710,113,506,490,31,3,1
50,255,594,919,881,71,44,1
45,304,901,265,892,9,58,1
55,603,410,871,115,1,93,1
60,382,72,709,575,79,52,1
37,527,387,925,742,56,19,1
17,305,980,972,660,44,96,0
7,513,876,436,546,70,32,1
66,862,757,185,590,83,87,1
9,723,460,590,191,86,53,1
3,715,682,882,666,68,43,1
30,28,716,290,431,53,40,1
1,514,43,224,248,34,76,0
99,975,848,979,131,63,92,1
17,354,297,380,890,25,65,0
91,856,241,482,426,3,41,1
47,897,207,819,35,97,59,1
89,977,601,108,93,52,66,1
18,704,180,388,945,34,53,0
70,251,50,143,401,83,96,1
40,554,898,113,259,5,2,1
42,21,212,830,167,25,55,1
100,866,648,72,521,96,32,1
49,955,186,366,610,13,71,1
41,833,164,800,758,82,30,1
10,754,456,845,308,30,89,0
30,18,314,539,463,1,57,0
53,592,172,355,406,57,100,1
82,641,996,14,136,89,44,1
78,392,822,589,212,92,57,1
77,977,552,481,795,44,21,1
70,661,515,643,17,30,50,1
38,827,211,419,211,35,7,1
26,864,231,669,144,79,87,1
57,32,564,268,179,53,24,1
82,14,287,958,829,4,30,1
49,305,378,77,586,38,64,1
69,356,690,290,592,3,93,1
11,857,564,147,376,97,73,1
14,265,907,579,430,84,73,1
23,183,866,419,306,62,11,1
20,125,480,288,969,33,46,0
8,342,164,370,808,64,37,1
91,611,633,169,560,74,90,1
60,232,542,306,440,82,95,1
79,31,871,406,373,4,92,1
45,869,161,965,307,65,13,1
95,288,550,811,720,90,21,1
73,597,563,683,231,69,28,1
8,770,195,813,734,33,33,0
11,542,771,897,900,4,96,0
17,969,958,749,319,68,89,1
94,36,991,202,3,47,4,1
98,298,349,222,87,36,34,1
68,940,130,54,673,54,56,1
90,365,86,675,466,84,68,1
44,438,43,422,489,66,34,1
37,523,65,243,35,32,11,1
1,699,687,39,814,79,84,1
57,923,233,388,578,99,35,1
27,209,813,308,843,85,9,1
69,365,855,434,396,78,23,1
100,859,465,476,618,90,95,1
12,642,677,964,890,51,32,1
93,540,50,435,66,72,72,1
62,585,958,954,60,49,91,1
45,374,247,927,270,15,81,1
94,83,426,834,444,19,57,1
69,388,3,400,579,13,56,1
40,797,52,215,122,12,22,1
32,287,953,859,113,31,100,1
10,135,556,672,486,25,74,0
49,156,227,243,715,25,5,1
69,837,760,670,5,27,87,1
39,851,446,491,379,54,85,1
4,292,834,673,467,45,5,0
13,50,802,34,649,78,8,1
69,166,455,422,127,95,72,1
67,945,486,986,901,72,83,1
25,857,606,286,124,70,86,1
74,226,410,342,753,93,27,1
31,956,310,948,311,65,31,1
76,769,358,578,600,77,88,1
60,594,441,829,982,7,27,1
45,241,697,984,937,52,37,1
67,747,867,780,989,66,39,1
85,331,901,738,804,20,45,1
1,289,606,194,84,28,93,0
21,256,222,586,997,62,35,1
79,802,141,434,263,62,7,1
70,819,364,499,890,64,75,1
4,245,749,501,42,64,34,1
52,974,125,971,411,59,31,1
100,178,555,193,500,97,17,1
73,425,244,803,146,59,87,1
84,546,818,587,616,89,6,1
24,640,932,483,95,17,100,0
60,952,904,311,29,95,65,1
98,769,499,714,871,95,80,1
46,362,293,197,844,42,17,1
9,115,685,382,315,84,42,1
30,499,546,602,228,40,41,0
41,875,383,30,575,60,63,1
19,33,992,855,410,27,2,0
42,438,561,680,619,28,6,1
37,591,339,732,771,90,38,1
64,165,76,817,795,70,6,1
81,538,382,963,187,27,2,1
10,173,669,533,66,84,88,1
93,182,355,751,958,55,75,1
18,3,475,604,954,46,77,0
87,401,990,687,374,57,37,1
15,745,542,321,300,84,73,1
20,766,181,634,738,65,20,1
17,380,411,961,187,19,61,0
20,341,890,729,904,93,94,1
14,695,883,60,153,73,26,1
7,18,898,255,438,29,44,0
69,224,296,731,244,27,64,1
6,883,516,584,485,42,75,0
81,669,904,675,472,7,44,1
73,900,152,690,690,29,88,1
4,181,215,781,297,26,78,0
59,888,334,996,213,18,10,1
63,159,736,326,700,85,6,1
56,673,153,745,135,50,7,1
87,710,201,824,230,98,62,1
45,270,745,200,754,90,20,1
73,88,65,940,163,78,75,1
10,953,672,303,306,8,51,0
40,620,865,19,743,30,47,1
100,682,119,1000,522,90,66,1
99,610,67,580,85,66,52,1
72,687,738,220,97,67,38,1
25,770,950,385,951,55,65,1
53,172,235,612,36,39,31,1
4,361,269,984,562,88,49,1
80,758,838,559,339,54,95,1
27,235,453,616,902,74,27,1
11,482,683,758,959,40,67,0
79,271,115,433,820,94,49,1
75,41,418,716,199,60,52,1
78,910,289,747,502,43,47,1
38,784,615,608,256,42,89,1
33,981,275,474,168,81,42,1
41,709,922,17,287,12,15,1
21,688,561,25,707,52,18,1
28,833,573,236,275,80,92,1
64,771,411,779,38,49,30,1
100,829,834,871,565,23,5,1
10,575,619,886,983,92,97,1
77,271,531,204,42,99,43,1
93,786,101,489,948,90,68,1
20,908,664,473,530,21,17,0
45,356,866,248,63,54,19,1
37,407,124,885,320,99,85,1
58,411,4,411,513,84,27,1
52,472,73,635,850,74,11,1
71,106,298,483,697,16,95,1
54,586,10,381,645,35,67,1
82,10,406,611,583,94,60,1
74,558,881,751,574,41,56,1
44,669,350,839,332,4,76,1
5,166,824,497,391,41,57,0
14,505,81,834,889,1,71,0
87,253,783,661,282,85,40,1
24,981,96,958,554,56,97,1
68,907,511,631,299,72,91,1
28,245,867,68,53,78,14,1
23,348,777,115,712,60,38,1
4,886,861,567,177,12,8,0
24,85,854,821,228,58,78,1
8,515,104,456,119,91,75,1
64,313,154,555,258,10,20,1
78,31,799,52,384,11,39,1
94,110,99,333,759,79,70,1
24,80,968,744,669,64,88,1
84,462,598,56,703,61,36,1
69,797,74,286,813,11,43,1
40,73,10,935,645,53,36,1
86,142,87,292,825,40,63,1
77,194,485,193,603,92,60,1
37,497,103,923,923,9,34,1
92,53,887,808,959,1,38,1
24,971,960,460,565,36,99,0
30,782,915,104,259,89,100,1
68,913,700,186,89,72,2,1
92,702,355,8,414,84,33,1
19,506,43,31,344,49,60,0
22,457,66,438,394,36,34,0
34,414,693,512,551,62,86,1
56,947,532,507,481,12,16,1
100,349,12,384,170,44,37,1
66,606,65,498,139,90,50,1
6,363,836,97,589,78,53,1
19,329,486,18,608,12,27,0
17,956,721,379,892,22,25,0
40,991,43,360,781,76,88,1
7,801,253,158,75,71,29,1
99,569,885,768,537,72,73,1
45,305,188,114,278,15,10,1
52,961,436,923,636,50,58,1
52,456,435,409,818,72,16,1
58,697,755,474,432,66,75,1
98,437,733,690,604,94,67,1
85,718,956,674,818,46,40,1
80,685,857,981,731,90,12,1
3,634,912,893,5,84,86,1
5,981,533,65,402,39,3,0
48,964,824,579,610,79,39,1
91,472,118,181,540,24,15,1
90,551,659,35,281,61,30,1
32,611,491,209,861,84,79,1
90,473,89,369,29,94,56,1
35,200,457,666,642,25,95,1
92,495,930,470,602,11,98,1
76,808,440,636,781,35,57,1
66,111,791,318,691,60,22,1
47,363,761,300,652,55,77,1
44,850,327,675,933,70,24,1
4,673,867,702,507,26,51,0
53,618,265,937,138,19,4,1
44,568,625,869,677,38,48,1
24,109,544,358,946,85,76,1
62,885,425,949,340,60,27,1
94,7,656,759,245,42,13,1
31,280,813,56,229,94,16,1
95,213,445,925,444,50,72,1
7,111,530,17,176,14,14,0
69,608,82,45,975,7,48,1
63,519,343,456,856,78,42,1
45,776,5,432,983,96,11,1
45,683,851,816,797,20,83,1
38,436,517,724,956,43,70,1
75,23,45,469,105,70,22,1
7,623,473,501,409,63,25,1
35,900,388,512,935,63,12,1
34,739,809,280,584,75,42,1
81,660,147,708,50,13,86,1
48,590,937,649,457,78,80,1
77,394,546,4,260,27,17,1
26,522,79,138,618,98,43,1
91,205,632,742,263,74,21,1
32,678,612,840,486,27,87,1
29,650,501,557,455,3,56,0
30,994,5,857,465,4,41,0
22,156,100,48,567,38,23,0
4,300,795,390,590,19,68,0
17,925,645,610,612,6,33,0
29,771,417,645,755,38,32,0
11,433,636,183,828,100,77,1
18,37,466,225,337,74,77,1
57,55,715,674,894,57,7,1
59,356,485,964,836,59,72,1
25,32,211,441,932,84,66,1
38,961,638,586,794,54,57,1
50,627,299,802,594,18,87,1
16,349,435,970,826,2,47,0
25,401,166,184,399,98,43,1
37,660,909,259,351,14,12,1
64,266,702,85,81,30,22,1
16,836,141,61,434,84,43,1
93,516,210,536,546,17,54,1
35,339,652,324,828,1,82,1
53,161,33,778,801,81,56,1
66,161,412,882,34,7,73,1
6,320,49,688,79,27,71,0
40,447,271,465,188,91,85,1
8,427,767,962,167,65,71,1
99,949,943,560,164,45,58,1
71,349,838,153,467,41,81,1
70,781,321,889,335,69,30,1
67,413,711,594,835,43,43,1
40,43,580,899,556,80,27,1
16,519,750,910,629,46,58,0
25,231,194,808,13,88,51,1
38,421,10,741,179,52,11,1
45,374,501,601,874,63,99,1
96,764,212,459,697,19,55,1
29,419,76,893,66,72,86,1
66,982,347,134,74,22,7,1
100,896,699,976,747,25,66,1
64,437,578,354,672,7,32,1
19,149,922,278,591,64,62,1
81,979,882,796,227,83,54,1
41,87,255,242,811,13,61,1
90,367,659,83,724,96,9,1
68,294,290,359,281,81,16,1
54,553,961,940,583,27,87,1
4,14,210,177,295,35,52,0
41,271,541,926,511,12,85,1
22,711,867,641,780,98,69,1
74,299,859,219,162,36,56,1
64,88,602,589,873,27,83,1
82,381,522,538,421,67,7,1
69,247,936,3,742,68,34,1
6,154,45,150,892,1,80,0
15,148,573,895,233,26,55,0
15,325,796,923,527,83,28,1
46,865,799,791,303,33,32,1
79,576,937,220,523,21,16,1
19,483,34,256,367,66,52,1
73,620,555,987,78,78,29,1
67,203,237,851,180,20,12,1
95,545,710,328,513,87,74,1
29,781,51,494,441,4,100,0
86,878,489,898,871,66,21,1
81,812,279,358,114,11,67,1
94,424,480,513,308,2,26,1
93,923,645,436,520,93,6,1
69,209,723,905,493,20,31,1
41,347,775,720,86,71,57,1
96,628,845,553,467,26,41,1
13,530,219,861,566,39,72,0
70,768,704,59,79,64,14,1
63,852,796,725,413,84,22,1
9,412,279,572,944,56,82,1
79,679,177,48,147,8,7,1
27,816,186,921,724,56,6,1
26,532,514,198,132,99,17,1
23,409,212,828,871,69,11,1
24,452,870,341,194,14,71,0
28,973,679,381,938,26,93,0
90,462,151,107,609,45,94,1
15,567,847,676,853,98,49,1
63,314,227,675,560,87,45,1
63,651,605,768,802,61,72,1
79,309,94,982,115,20,34,1
63,785,14,248,517,31,35,1
34,999,669,583,250,65,32,1
18,992,722,497,968,2,50,0
1,699,818,787,325,27,91,0
50,76,694,558,135,91,66,1
26,321,75,718,88,74,18,1
39,713,868,323,195,4,96,1
18,407,627,116,328,43,87,0
67,64,780,197,680,49,84,1
28,960,326,579,230,29,50,0
